brand,name,old_price,old_price_cent,new_price,new_price_cent,reviews_rating_number,reviews_amount
PUMA,Tenis Masculino Puma Up Leve Estiloso Confortavel - Original,316,83,237,50,5.0,(9)
FILA,Tênis Fila Fire Masculino / Feminino - Original ,349,99,248,49,4.5,(6)
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,229,90,159,90,4.5,(5490)
,Tênis Bolsonaro Masculino Feminino Patriota Style Super Leve,199,90,33,32,4.7,(134)
OLLIE,Kit 2 Tênis Street Ollie Masculino Rocky Conforto,299,98,218,98,4.7,(276)
UNDER ARMOUR,Tênis Under Armour Tribase Lift Masculino Academia - Fitness,599,90,520,90,,
MIZUNO,Tênis Mizuno Wave Mirai 6- Branco-cinza,499,89,49,99,4.4,(8)
FILA,Tênis Fila Racer For All Masculino Academia Running Original,299,99,179,99,4.7,(31)
NEW BALANCE,Tênis New Balance Evoz V3 Masculino,699,90,496,92,,
NEW BALANCE,Tênis New Balance Hierro V7 Masculino Original ,1.259,90,793,73,,
ADIDAS,adidas Lite Racer 3.0 Masculino Adultos,269,62,33,,4.7,(424)
OLLIE,Tênis Street Ollie Masculino Rocky Conforto,149,99,122,99,4.7,(845)
WEST,Tênis Kit 2 Pares Mizwest 20 Promoção Masculino Garantia !!1,155,90,15,15,4.0,(302)
,Tênis Número Especial Esportivo Corrida E Academia 44-48,78,,26,,4.2,(42)
OLYMPIKUS,Tênis Olympikus Challenger 5 Branco E Cinza - Masculino,299,99,33,33,5.0,(1)
PUMA,Tênis Puma Up Unissex,340,78,257,70,5.0,(1)
MIZUNO,Tênis Mizuno Frontier B Unissex Original ,799,99,77,56,,
NEW BALANCE,Tênis New Balance 327 V1 Casual Streetstyle Macio,639,90,543,91,,
PUMA,Tênis Puma Masculino Bmw Trinity - Original,599,99,60,,5.0,(1)
UNDER ARMOUR,Tênis Masculino Dagger Basquete Under Armour Novo,499,99,373,99,4.8,(10)
FILA,Tênis Fila Efecto Masculino / Feminino - Original,299,99,224,99,5.0,(5)
ADIDAS,Tênis De Corrida Masculino Duramo Esportivo Performance Leve,499,99,364,99,5.0,(3)
MIZUNO,Tênis Mizuno Wave Interceptor Rsp Masculino Corrida,444,33,44,43,,
VIA LIVRE,Tênis Masculino Advanced Aero Leve Macio Caminhada Academia,149,90,37,48,,
HAVAIANAS,Tênis Havaianas Tns Mix Print,279,99,31,11,,
PUMA,Tênis Masculino Caminhada Puma Haste Sl Bdp Esportivo,589,90,430,62,,
HARD,Tênis Esportivo Masculino Barato Para Academia Original Novo,129,82,74,27,4.5,(596)
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,74,67,4.5,(4625)
PUMA,Tênis Feminino Wired Run Slip-on Ps Bdp Puma ,299,90,223,99,,
,Tênis Masculino Academia Leve Olimp Confortável Original 23,109,99,93,49,4.4,(6621)
OLYMPIKUS,Olympikus Casual Mood Masculino Adultos,134,90,33,72,4.8,(2008)
